ID,Name,City,State,Marked,Bib,Frst,Lst
35679,AIKEN FIRE & ORNAMENTAL BRICK CO.,AIKEN,SC,Y,892,1878,
9266,PEE DEE BRICK & TILE CO,BLUE BRICK,SC,Y,343,1918,1922
22378,PALMETTO BRICK CO.,CHERAW,SC,Y,342,1919,2005
29295,"CAROLINA CERAMICS,INC.",COLUMBIA,SC,Y,492,1954,2009
1882,COLUMBIA CLAY CO.,COLUMBIA,SC,Y,636,1917,1939
5139,LANDRUM FIRE BRICK WORKS (R.M.STORK PROP.),COLUMBIA,SC,Y,23,1907,1927
26574,"MERRY COMPANIES,INC.",COLUMBIA,SC,Y,455,1979,1981
10461,"STORK,R.M. FIRE BRICK WORKS (LANDRUM F.B. CO.)",COLUMBIA,SC,Y,574,1911,1961
30534,DARLINGTON BRICK CO.,DARLINGTON,SC,Y,553,1905,1912
32640,"RUTHERFORD,W.J. & CO.",HAMBURG,SC,Y,691,1902,1908
35678,SOUTHERN PORCELAIN MANUFG. CO.,KAOLIN,SC,Y,892,1856,1864
35254,CAROLINA FIRE BRICK CO.,KILLIAN,SC,Y,866,1900,1904
32565,KILLIAN FIRE BRICK CO. (CAROLINA F.B.CO.),KILLIAN,SC,Y,691,1904,1910
34867,"CADE,D.B.",MOUNT CARMEL,SC,Y,865,1896,1897
32599,HANKINSON & HAHN,NORTH AUGUSTA,SC,Y,693,1912,1916
26575,"MERRY COMPANIES,INC.",SUMMERVILLE,SC,Y,455,1980,
22219,SUMTER BRICK WORKS (E.R. CHANDLER),SUMTER,SC,Y,334,1886,1941